chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
9	14	1125	5	8.45307302474976	0	0	0	0	0	0	0	0	0	0	0	0
9	27	3342	5	150.121920347214	0	0	0	0	0	0	0	0	0	0	0	0
9	28	1229	5	5.41134452819824	0	1	1	2	0	1	1	2	0	0	0	0
9	38	1974	5	32.1490669250488	0	0	0	0	0	0	0	0	0	0	0	0
9	39	798	5	3.09829139709473	0	1	0	0	0	0	0	0	0	1	0	0
9	40	2294	5	50.3324370384216	1	1	1	1	1	1	1	1	0	1	1	1
9	41	169	5	0.441874265670776	0	0	1	31	0	0	0	0	0	0	1	31
9	42	1155	5	11.5342090129852	0	0	0	0	0	0	0	0	0	0	0	0
9	44	335	5	0.291945695877075	0	0	0	0	0	0	0	0	0	0	0	0
9	45	2606	5	136.239454507828	0	0	0	0	0	0	0	0	0	0	0	0
9	50	3248	5	295.826555490494	0	0	0	0	0	0	0	0	0	0	0	0
9	53	2908	5	133.56001329422	0	0	0	0	0	0	0	0	0	0	0	0
9	54	1238	5	14.0890176296234	0	1	0	0	0	1	0	0	0	0	0	0
9	56	2374	5	113.542515516281	0	0	0	0	0	0	0	0	0	0	0	0
9	68	260	5	0.346181631088257	0	0	1	5	0	0	1	5	0	0	0	0
9	78	676	5	1.57675385475159	0	0	0	0	0	0	0	0	0	0	0	0
9	80	3703	5	430.099406957626	0	0	0	0	0	0	0	0	0	0	0	0
