chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
9	9	3940	1912	3469	1232	4.78	6.294	2.236
9	13	9791	4349	8671	2361	5.742	3.101	2.33
9	27	13397	6921	12046	3873	9.627	3.754	3.032
9	28	3890	2167	3538	1342	8.221	3.678	2.931
9	31	7899	3692	6975	2389	11.7	3.81	3.581
9	32	2933	1463	2684	843	4.875	3.626	2.704
9	33	5359	2492	4881	1971	7.446	3.793	2.732
9	39	2350	1083	2029	750	5.191	2.886	2.107
9	41	752	489	654	203	4.656	4.386	1.241
9	48	1281	609	1156	427	6.496	2.006	2.871
9	50	7786	3621	6922	2523	6.044	4.261	2.968
9	53	10363	4664	8749	3107	5.945	3.666	3.735
