chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
11	56	1129	578	1001	327	6.888	2.571	2.12
11	75	3974	1704	3576	543	5.364	3.234	2.815
11	76	4759	2067	4249	1276	34.01	3.039	2.512
11	78	5298	2124	4471	1205	4.129	2.651	2.483
11	79	11579	4524	9695	2873	11.23	4.09	2.481
11	81	4469	2043	3986	1020	3.615	2.772	2.286
11	82	1279	661	1138	308	4.687	3.945	1.737
11	86	6838	2914	5914	1467	3.321	2.81	3.485
11	90	11534	4821	10084	2891	3.925	3.757	2.692
11	107	2100	1105	1829	734	3.107	2.784	2.676
11	108	1931	958	1720	550	3.843	2.203	2.871
11	115	6807	3006	5952	1679	3.642	3.788	2.464
11	117	12131	4952	10692	3265	7.683	3.624	2.837
11	123	3446	1466	3009	647	4.409	4.306	1.865
11	125	4668	2204	4153	1219	7.145	3.531	1.958
11	129	5177	2510	4585	1776	80.14	4.172	2.811
11	133	5481	2215	4776	1654	6.102	3.408	3.206
11	139	217	104	184	57	2.302	1.724	1.841
11	140	2886	1400	2539	833	4.957	2.528	2.626
11	142	6185	3110	5491	1879	8.066	3.289	3.634
11	147	9888	4882	8728	2789	44.28	3.207	2.646
11	163	838	501	755	223	3.993	2.574	1.975
12	1	3228	1583	2836	910	7.633	2.481	4.377
12	4	3572	1489	3223	928	4.299	3.649	1.662
12	12	1887	967	1658	554	5.814	4.844	2.24
12	17	2457	1105	2149	582	3.085	3.309	2.854
12	18	5043	2150	4432	1493	5.454	3.328	2.696
12	23	6882	2889	6211	2172	10.77	3.504	2.072
12	29	725	358	641	236	4.741	2.323	1.842
